Abdominoplasty,[]
Obstetrics,"['Stomach Cramps', 'Pregnancy Tests', 'Caesarean Section (C Section)', 'Pregnancy Exercise', 'Vaginal Infection Treatment', 'Gynecologic Laparoscopy', 'High-Risk Pregnancy Care', 'Maternal Fetal Medicine', 'Nausea', 'Ovarian Cysts', 'Cesarean Delivery', 'Pregnancy Check Up', 'Maternal Care/ Checkup', 'Intracytoplasmic Sperm Injection (ICSI)', 'Cervical Cerclage', 'Infertlity Treatment - Iui', 'Test Tube Baby\\IVF|ICSI', 'Uterine Bleeding', 'Thyroid', 'Tubectomy/Tubal Ligation', 'Pre-Pregnancy Counselling', 'Infertility And Pcod', 'Artificial Insemination', 'In-Vitro Fertilization (IVF)', 'Pre and Post Delivery Care', 'Fertilisation In Vitro - Embryo Transfer (IVF - ET)', 'PCOD', 'Complicated Pregnancy Treatment', 'Gynaecological Problem', 'Obstetrics / Antenatal Care', 'Female Infertility Treatment', 'Adenomyosis Treatment', 'Acne in Periods', 'Urinary Tract Infection', 'Pregnancy care and management', 'Laparoscopic Myomectomy', 'Laparoscopic Gynaecology', 'Laparoscopic Surgery (Obs & Gyn)', 'Pap Smear', 'Treatment of polycystic ovarian syndrome(PCOS)', 'Pregnancy Scan', 'Normal Vaginal Delivery (NVD)', 'PCOD/PCOS Treatment', 'Body Weakness', 'Menopause', 'Menstrual Disorders', 'Gynaecological Endoscopy', 'Laparoscopy Hysterectomy', 'PCOS', 'Miscarriage', 'Vaginal Discharge', 'Gynae Problems', 'Labor and Delivery', 'Fibroid Removal', 'Fertilization', 'Family Planning', 'Pregnancy Hypertension (Preeclampsia/ Eclampsia)', 'Heavy Periods', 'Infertility', 'Pregnant Women Counseling', 'Anesthesia', 'Irregular Menstruation', 'Infertility in Women', 'Painful Sexual Intercourse', 'Hysteroscopy', 'Mirena (Hormonal Iud)', 'Gynae advice', 'Child Birth Education', 'Breast Pain', 'Uterine Fibroids', 'Pregnancy', 'Fertility Treatment', 'Female Sexual Problems', 'Ovarian Cyst Removal', 'Vaginal Infection', 'Uterus Removal Surgery', 'Endometriosis Treatment', 'Breast Examination', 'Infertility Evaluation / Treatment', 'Endometriosis', 'Reproduction', 'Normal Delivery', 'Abortion / Medical Termination of Pregnancy (MTP)', 'Abdominal Hysterectomy', 'Pregnancy with PCOD', 'Prenatal Checkup', 'Urinary Tract Infection (Uti)', 'Arthritis and Pain Management', 'general physician', 'Copper T Insertion', 'Post Pregnancy Classes', 'Preconception Counseling', 'Copper T Insertion & Removal', 'Hysterectomy (Abdominal/Vaginal)', 'Difficulties in conceiving from failure to ovulate', 'Medical Termination Of Pregnancy (Mtp)', 'Pelvic Inflammatory Disease- PID', 'Advanced Laparoscopic Surgery', 'Painful Periods', 'Menstrual Disorders in Adolescent Girls', 'Pregnant', 'Irregular Periods', 'Urinary Incontinence (Ui) Treatment', 'White Discharge Problem', 'menopause advice', 'All Blood investigations for women\\men\\children', 'Obstetrics Problems', 'General Medical Consultation', 'Other Gynaecological Conditions', 'Nutrition for Pregnant Women']"
Occupational Psychology,[]
Occupational Therapy,"['Occupational Therapy', 'Cerebral Plasy', 'Sensory Integration Therapy', 'Vestibular Input', 'Oro Motor Training', 'Hand Function training']"
Ophthalmology Eye Surgery,"['Conjunctivitis', 'Retinal Problems', 'Glaucoma', 'Visual Field Test', 'Watery Eyes', 'Eye Checkup - Comprehensive', 'Lasik', 'Chalazion', 'Eye Redness', 'Eye Infection', 'Cataract Surgery', 'Red Eyes', 'Eye Problem', 'Pterygium', 'Eye Checkup - General', 'Uveitis', 'Diabetic Retinopathy', 'Farsightedness', 'Diabetic Retinopathy Screening/ Treatment', 'Dry Eye - Evaluation / Treatment', 'Diabetic Eye Checkup', 'Eye Treatment', 'Eye Pain Evaluation/ Treatment', 'Age-Related Macular Degeneration Treatment', 'Glaucoma Evaluation / Treatment', 'Eye itching', 'Pediatric Opthalmology', 'Eye Allergy', 'Dry Eyes', 'Poor Eye Sight', 'Laser Refractive & Cataract Surgery', 'Eye Muscle Surgery', 'LASIK Eye Surgery', 'Bariatric (Gastric Bypass) Surgery', 'Astigmatism', 'Eyelid inflammation', 'Optic Neuritis', 'Insulin Treatment', 'Lasik for Glasses Removal', 'Eye Pain', 'Eye Burning', 'Fundus Photo', 'Refractive Surgery', 'Squint', 'Routine eye check-up', 'Eyes Diseases', 'Visual impairment', 'Eye Surgery', 'Myopia', 'Cataract', 'Ophthalmologic examinations', 'children eye check up', 'Black Eye', 'Eye discharge', 'OCT Retina', 'Itching Eyes', 'Puffy Eyelids', 'Reduced Vision', 'Color Blindness']"
Optometry,[]
Oral Surgery,[]
Orthodontics,"['Orthodontic Procedures', 'Dentures', 'Rotten Tooth', 'Tooth Decay', 'Metal Braces Fixing', 'Orthognathic Surgery', 'Teeth Sensitive to Hot and Cold', 'Braces', 'Retainers and Splinting', 'Straightening Teeth (Conventional Braces)', 'Dental Braces Fixing', 'Cast Partial Denture', 'Dental Treatment', 'Post and Core', 'Sacling', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Tooth Discoloration', 'Dental Calculus', 'Stem Cell Treatment for Skin ', 'Emergency Dental Treatment', 'Calculus', 'Composite tooth filling', 'Pulpectomy', 'Health Checkup (General)', 'Orthodontic Treatment', 'Re-Root Canal Treatment', 'Smile Design', 'Missing Teeth', 'Wisdom Teeth', 'Teeth Decay', 'Oral Rehabilitation', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Implant Rehabilitation', 'Complete/Partial Dentures Fixing', 'Tooth Loss', 'TMJ Pain Management', 'Aesthetic Dentistry', 'Conservative Dentistry', 'Dental Cavity Filling', 'Jaw Reshaping', 'Swollen Gums', 'Widely Spaced Teeth', 'Tooth Abscess', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Painful Teething', 'Broken Teeth', 'Tooth Worm', 'Teeth cleaning & polishing', 'Tooth Impaction Surgery', 'Teeth Whitening', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Braces Adjustment', 'Smile Designing', 'Cosmetic Filling', 'Scaling / Polishing', 'Impacted Tooth', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Fractured Tooth', 'Skin Whitening Treatment', 'Malocclusion', 'Dental Surgery', 'Wedding Smile Planner', 'Straightening Teeth (Invisalign)', 'Painless Single visit root canal treatment', 'Invisalign Orthodontics', 'Delayed Tooth Formation', 'Toothache Remedies', 'Teeth Reshaping', 'Veneers / Laminates', 'Bleeding Gums', 'Hair Removal Treatment', 'Ceramic Braces Fixing', 'Toothache', 'Invisible Orthodontics', 'Tooth Filling', 'Gum Depigmentation Treatment', 'hair', 'Paedodontics', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Crowded Teeth', 'Teeth Ache', 'GIC Tooth Fillings', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Dental X-Ray', 'TMJ Disorders', 'Fixed Partial Denture (FPD)', 'Dental Sealant', 'Mucogingival Surgery', ' Crowns and Bridges', 'General Dentistry', 'Small Cysts & Tumors Excision of Face & Jaw Region', 'Tooth Coloured Fillings', 'Myo Funtional Orthodontic/TMD Management', 'uneven skin tone', 'Implant Retained Dentures', 'Dental Checkup (General)', 'PRP for Hair Loss', 'Mouth Bleed', 'Dental Crowns', 'Space Maintainers', 'Dental Examinations', 'Diastema', 'Wisdom Tooth Extraction', 'Zirconia Crowns', 'Dental screening and prophylaxis', 'Lingual Orthodontics', 'Cosmetic Treatments', 'Jaw Orthopedics', 'Denture Problems', 'Dental Implant', 'Dental Laminates', 'Laminates', 'Tooth Extraction', 'Endo Surgery Or Apicoectomy', 'Laser Gum Surgery', 'Chipped Tooth', 'Oral & Maxillofacial Surgery', 'Pigmentation Removal', 'Ceramic Dental Braces', 'Hair Transplant', 'Jaw Ache', 'Implant / RCT', 'Oral Surgery Procedures', 'Crossbite', 'Removal Partial Denture (RPD)', 'Overbite', 'Gap Closing', 'Abnormal Tooth Color', 'Dental Implant Fixing', 'Child teeth problem', 'Misaligned Teeth', 'Bleaching of Vital & Non Vital teeth.', 'Dental Cavities', 'Scalling', 'Surgical Tooth Extraction', 'Dental Checkup (General) Dental X-Ray']"
Orthopedic,"['Spinal Therapy', 'joint injection', 'Spasticity', 'Spinal Disorders', 'Ligament Reconstruction', 'Knee Pain', 'Bone Trauma', 'Heel Pain', 'Shoulder Injuries', 'Sprain', 'Knee Braces For Osteoarthritis', 'Fistula Treatment', 'Elbow Pain', 'Foot Pain', 'Arthroscopy', 'Foot & Ankle', 'Joint Mobilization', 'Hip Pain Treatment', 'Wrist problems', 'Total Knee Replacement', 'deformities', 'Rotator Cuff Injury Treatment', 'Osteoporosis', 'Limb Lengthening', 'X- Ray', 'Back Pain Treatment', 'Shoulder Pain', 'ACL Reconstruction', 'Neck Pain', 'Knee Problems', 'Hand Pain Treatment', 'Spine pain', 'Sciatica', 'Orthopedic Consultation', 'Reconstruction and Bone Lengthening', 'Neuromuscular Disorders', 'Achilles Tendon Rupture Treatment', 'Foot Injuries', 'Slip Disc', 'Musculoskeletal Infections', 'Leg Pain', 'Finger Pain', 'Knee Dislocation', 'Ankle Pain', 'Ligament and Tendon Repair', 'Chin Augmentation', 'Knee Pain Treatment', 'Shoulder Impingement', 'Orthopedic Surgery', 'Sports Injury', 'Carpal Tunnel Syndrome', 'Hip Replacement', ""De Quervain's Tenosynovitis Treatment"", 'Hip Pain', 'Osteoarthritis Of The Knee', 'Plaster application', 'Fracture Treatment', 'Lower Back Pain', 'Knee care', 'Hand Surgery', 'Osteoarthritis', 'Meniscus Injury', 'ACL Surgery', 'Tennis Elbow Treatment', 'Liposuction', 'Kneecap Dislocation', 'Bone Fracture', 'Lumbar Pain', 'Knee Osteotomy', 'Spine Injury', 'Joint and Muscle Problems', 'Muscle release', 'Muscle Weakness', 'Joint Dislocation Treatment', 'Knee Arthroplasty', 'Muscular Diseases', 'Functional Orthopedics', 'Upper Back Pain', 'Foot Injury Treatment', 'Joints and Musculoskeletal Disorders', 'Toe Walking', 'Cervical Spondylitis Treatment', 'Elbow Injury', 'Physiotherapy for Sports Injury Rehabilitation', 'Knee Replacement', 'Shoulder Surgery', 'Joint Pain', 'Neck Pain Treatment', 'Orthopedic Physiotherapy', 'Shoulder SLAP (Tear) Lesions', 'Orthopedic physical therapy', 'Chin Augumentation (Mentoplasty)']"
Orthopedic Physiotherapy,"['Hand Therapy', 'Back Pain Physiotherapy', 'Neck Pain Physiotherapy', 'Tennis Elbow Physiotherapy', 'Shoulder Pain', 'cervical spondylitis', 'Neck Pain', 'Knee Injuries', 'Shoulder Injuries', 'Soft Tissue Mobilization', 'Sports Massage Therapy', 'Sports Physiotherapy', 'Fibromyalgia Physiotherapy', 'Stick Mobility', 'Post Surgery Physiotherapy/Rehabilitation', 'Manual Therapy', 'Tendonitis Physiotherapy', 'Knee Pain Physiotherapy', 'Frozen shoulder Physiotherapy', 'Physiotherapy for Osteoarthritis of Knee and Hip', 'Hand Pain', 'Musculoskeletal Injury Physiotherapy', 'Cervical Spondylosis Physiotherapy', 'Electrical Stimulation', 'Gait (Walking) Training / Assistive Device Training', 'Sports Fracture Rehabilitation', 'Sports Injuries Rehabilitation', 'Pediatric Physiotherapy', 'Strains', 'Corrective exercises', 'Back Pain', 'Foot Care', 'Neuro Physiotherapy', 'Deep Tissue Release Therapy', 'Hand And Wrist Injuries', 'Stroke Physiotherapy/Rehabilitation', 'Orthopaedic Physiotherapy']"
Orthopedic Surgery,[]
Otology Neurotology,[]
Otoplasty Ear Surgery,[]
Pediatric,"['Childhood Infections', 'Colds', 'Paediatric Intensive Care', 'Cerebral Palsy Treatment', 'stomach and intestinal infections', 'Skin Problems In Children', 'Proctoscopy', 'Glycogen Storage Disease', 'Nutritional Advice', 'Galactosemia', 'Diabetes Cardiac Autonomic Neuropathy assessment (CAN machine)', 'Chest Pain Treatment', 'Narcolepsy In Children', 'Body Ache', 'Immunisation for adolescents', ""Children's Health"", 'Epilepsy In Children', 'Nutritional Assessment', 'Pediatric Scoliosis', 'Vaccination/ Immunization', 'Pediatric Vaccinations', 'Stomach Pain', 'Cough', 'Growth & Development Evaluation / Management', 'Rotavirus', 'New Born Care', 'Consultation provided for all pediatric disease', 'Adolescent Followup & Vaccinations', 'Childhood Nutrition and Child Safety', 'Stomach Infection', 'Urinary Incontinence In Children', 'Dry Skin', 'All Pediatric Problems', 'Child health disorder', 'Paediatric & Family Counselling', 'Newborn Jaundice', 'Child nutrition Guidance', 'Ear Infection', 'Health Checkup (General)', 'Specialist Consultation for Growth', 'Paediatrics - Chest', 'Paediatric Critical Care', 'People Skills', 'Throat Infection', 'Abetalipoproteinemia', 'Health Checkup (Pediatric)', 'Milk Allergies', 'Fever', 'Child specialists', 'Diabetes In Children', 'Colic', 'Diaper Rash', 'Pediatrics Critical Care', 'Cold Cough', 'Asthma In Children', 'Diet advise for infants and toddlers', 'Throat pain', 'Child Development Disease Treatment', 'Paediatric care', 'Development Assessment', 'Vomiting', 'Cough In Children', 'Consultation provided for newborns']"
Pediatric Cardiology,['Paediatrics - Chest']
Pediatric Dentistry,"['Orthodontic Procedures', 'Rotten Tooth', 'Tooth Decay', 'Orthognathic Surgery', 'Cast Partial Denture', 'Ceramic Facing Crown', 'Post and Core', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Dentures ( Metal Based ) Dental Services/ Ful Dental (Acrylic) / Teeth Whitening', 'Pulpectomy', 'Orthodontic Treatment', 'Re-Root Canal Treatment', 'Smile Design', 'Wisdom Teeth', 'Teeth Decay', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Implant Rehabilitation', 'Tooth Loss', 'Aesthetic Dentistry', 'Conservative Dentistry', 'Dental Cavity Filling', 'Swollen Gums', 'Painful Teething', 'Tooth Abscess', 'Broken Teeth', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Widely Spaced Teeth', 'Teeth cleaning & polishing', 'Preventive Dentitry', 'Teeth Whitening', 'RCT - Single Sitting', 'Cosmetic Veneers/Bonding', 'Implant Prosthesis', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Bone Grafting for Dental Implants', 'Braces Adjustment', 'Cosmetic Filling', 'Scaling / Polishing', 'Impacted Tooth', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Fractured Tooth', 'Dental Surgery', 'Consultation', 'Invisalign Orthodontics', 'Delayed Tooth Formation', 'Gingivitis', 'Toothache Remedies', 'Teeth Reshaping', 'Veneers / Laminates', 'Bleeding Gums', 'Gum Disease Treatment/ Surgery', 'Ceramic Braces Fixing', 'Toothache', 'Inlays and Onlays', 'Dental Caries', 'Implants(Fixed Teeth)', 'Immediate Dentures', 'Invisible Orthodontics', ' Vestibuloplasty etc)', 'Paedodontics', 'Teeth Grinding', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Crowded Teeth', 'GIC Tooth Fillings', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Dental X-Ray', 'Apicoectomy', 'Fixed Partial Denture (FPD)', 'Mucogingival Surgery', 'General Dentistry', 'Teeth - Jewellery', 'Tooth Coloured Fillings', 'Loose Teeth', 'Implant Retained Dentures', 'Dental Checkup (General)', 'Restoration Aesthetics', 'Dental Crowns', 'Space Maintainers', 'Dental Examinations', 'Wisdom Tooth Extraction', 'Zirconia Crowns', 'Preposthetic surgery (Frenectomy', 'Implant Supported Denture Fixing', 'Impaction / Impacted Tooth Extraction', 'Pediatric Dentistry', 'Denture Problems', 'Dental Implant', 'Paediatric Tooth Filling', 'Dental Restoration', 'Laminates', 'Tooth Extraction', 'Endo Surgery Or Apicoectomy', 'Tooth bleach', 'Laser Gum Surgery', 'Chipped Tooth', 'Oral & Maxillofacial Surgery', 'Periodontal Flap Surgery', 'Implant / RCT', 'Kids Root Canals', 'Abnormal Tooth Color', 'Gap Closing', 'Dental Implant Fixing', 'Child teeth problem', 'Misaligned Teeth', 'Dental Cavities', 'Scalling', 'Surgical Tooth Extraction', 'Dental Checkup (General) Dental X-Ray']"
Pediatric Dermatology,[]
Pediatric Endocrinology,[]
Pediatric Ot,"['Occupational Therapy', 'Sensory Integration Therapy', 'Vestibular Input', 'Oro Motor Training', 'Brain Gym', 'Hand Function training']"
Pediatric Oncology,[]
Pediatric Orthopedic Surgery,[]
Pediatric Otolaryngology,[]
Pediatric Physiotherapy,"['Back Pain Physiotherapy', 'Anxiety And Depression', 'Neck Pain Physiotherapy', 'Tennis Elbow Physiotherapy', 'Soft Tissue Manipulation', 'Shoulder Pain', 'Tens (Transcutaneous Electrical Nerve Stimulation)', 'Kneecap Pain', 'Neck Pain', 'Ultrasonic Physiotherapy', 'Knee Pain Physiotherapy', 'Frozen shoulder Physiotherapy', 'Musculoskeletal Injury Physiotherapy', 'Cervical Spondylosis Physiotherapy', 'Electrical Stimulation', 'Gait (Walking) Training / Assistive Device Training', 'Leg Pain', 'Pediatric Physiotherapy', 'Back Pain', 'Foot Care', 'Short Wave Diathermy']"
Pediatric Pulmonology,[]
Perinatology,[]
Periodontics,"['Tooth Decay', 'Peel', 'Metal Braces Fixing', 'Teeth Sensitive to Hot and Cold', 'Orthognathic Surgery', 'Bone graft', 'Straightening Teeth (Conventional Braces)', 'Dental Braces Fixing', 'Cast Partial Denture', 'Dental Treatment', 'Porcelain-Fused-to-Metal Dental Crowns', 'Post and Core', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Tender Gums', 'Pulpectomy', 'Composite tooth filling', 'Orthodontic Treatment', 'Smile Design', 'Wisdom Teeth', 'Oral Rehabilitation', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Implant Rehabilitation', 'Aesthetic Dentistry', 'Conservative Dentistry', 'Flap Surgery', 'Dental Cavity Filling', 'Removal of impacted/buried Tooth', 'Gum rejuvenation - Pinhole Surgical Technique', 'Periondontal Care', 'Painful Teething', 'Widely Spaced Teeth', 'Proctoscopy', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Broken Teeth', 'Swollen Gums', 'Teeth cleaning & polishing', 'Tooth Impaction Surgery', 'Teeth Whitening', 'Skin Grafting', 'Receding Gums', 'Implant Prosthesis', 'RCT - Root Canal Treatment', 'Gingivoplasty', 'Dental Fillings', 'Cosmetic Veneers/Bonding Acne / Pimples Treatment', 'Oral Prophylaxis', 'Scaling / Polishing', 'Impacted Tooth', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Impacted Tooth Removal', 'Fractured Tooth', 'Dental Plaque', 'Dental Surgery', 'Metallic Crown Fixing', 'Bad Breath (Halitosis) Treatment', 'Oral Lesions Screening', 'Painless Single visit root canal treatment', 'Stomatology', 'Laser Flap Surgery', 'Invisalign Orthodontics', 'Dental Plaque Removal', 'Gingivitis', 'Teeth Reshaping', 'Veneers / Laminates', 'Bleeding Gums', 'Crown Lengthening', 'Frenectomy', 'Gum Disease Treatment/ Surgery', 'Ceramic Braces Fixing', 'Tooth Erosion', 'Toothache', 'Dental Deep Cleaning', 'Immediate Dentures', 'Composite Bondings', 'Tooth Filling', 'Teeth Grinding', 'Paedodontics', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Crowded Teeth', 'Teeth Ache', 'Bleeding Gum', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Inlay/Onlay (PFM)', 'Dental X-Ray', 'Fixed Partial Denture (FPD)', 'Dental Sealant', 'Mucogingival Surgery', 'Treatment for bleeding/ Swolen Gums', ' Lasers', 'Tooth Coloured Fillings', 'Loose Teeth', 'Implant Retained Dentures', 'Dental Checkup (General)', 'Dental Crowns', 'Surgical Extractions of Teeth', 'Dental Examinations', 'Zirconia Crowns', 'Wisdom Tooth Extraction', 'Laser Gingivoplasty', 'Pediatric Dentistry', 'Denture Problems', 'Dental Implant', 'Dental Laminates', 'Dental Restoration', ' Polishing', 'Laminates', 'Tooth Extraction', 'Stained Teeth', 'Endo Surgery Or Apicoectomy', 'Laser Gum Surgery', 'Smile designing', 'Periodontal Flap Surgery', 'Implant / RCT', 're-root canal', 'Oral Surgery Procedures', 'Kids Root Canals', 'Removal Partial Denture (RPD)', 'Abnormal Tooth Color', 'Periodontitis', 'Dental Implant Fixing', 'Misaligned Teeth', 'Dental Cavities', 'Scalling', 'Surgical Tooth Extraction', 'Dental Checkup (General) Dental X-Ray']"
Phlebology,[]
Podiatry,[]
Prosthodontics,"['Tooth Decay', 'Metal Braces Fixing', 'Teeth Sensitive to Hot and Cold', 'Dental Braces Fixing', 'Cast Partial Denture', 'Dental Treatment', 'Post and Core', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Partial / Complete Denture', 'Composite tooth filling', 'Re-Root Canal Treatment', 'Smile Design', 'Missing Teeth', 'Wisdom Teeth', 'Teeth Decay', 'Artificial Teeth', 'Rotten Teeth', 'Aesthetic Dentistry', 'Conservative Dentistry', 'Dental Cavity Filling', 'Swollen Gums', 'Painful Teething', 'Broken Teeth', 'Bleeding Gums Treatment', 'Tooth Impaction Surgery', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Full Denture (Acrylic)', 'Scaling / Polishing', 'Impacted Tooth', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Dental Surgery', 'Immediate Implant placement in Extraction sockets', 'Toothache Remedies', 'Teeth Reshaping', 'Bleeding Gums', 'Toothache', 'Dental Fluorosis', 'Immediate Dentures', 'Tooth Filling', 'Teeth Grinding', 'Sensitive Teeth', 'Cavities', 'Teeth Ache', 'Bleeding Gum', 'GIC Tooth Fillings', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Dental X-Ray', 'TMJ Disorders', 'Fixed Partial Denture (FPD)', 'Mucogingival Surgery', 'General Dentistry', 'Tooth Coloured Fillings', 'Loose Teeth', 'Implant Retained Dentures', 'Dental Checkup (General)', 'Dental Crowns', 'Dental Examinations', 'Zirconia Crowns', 'Wisdom Tooth Extraction', 'Impaction / Impacted Tooth Extraction', 'Denture Problems', 'Dental Implant', 'Dental Laminates', 'Laminates', 'Tooth Extraction', 'Endo Surgery Or Apicoectomy', 'Laser Gum Surgery', 'Surgical Tooth Extraction', 'Chipped Tooth', 'Oral & Maxillofacial Surgery', 're-root canal', 'Removal Partial Denture (RPD)', 'Dental Implant Fixing', 'Misaligned Teeth', 'Dental Cavities', 'Scalling', 'TMJ Pain Management']"
Psychiatry,"['Obsessive Compulsive Disorder (OCD) Counselling', 'Depression Treatment', 'Difficulty Concentrating', 'Mental Health Services', 'Career Counselling', 'Alcohol Addiction', 'Anxiety Disorders Treatment', ' stress and anxiety', 'Early Parenting Issues', 'Sexual and Gender identity issues', 'Stress', 'Anxiety Disorder Counselling', 'Sleep Disturbance', ' Unusual', 'Drug Abuse', 'Concentration Problems', 'Unexplained Physical Symptoms', 'Learning Disability (Dyslexia) Treatment', 'Behaviour & Thought Problems', 'Autism', 'Panic Disorder Treatment', 'Emotional Outbursts', 'Schizophrenia', 'Stress Management', 'Counselling and Psychotherapy', 'Assessment and treatment of problems related to low self-esteem', 'Individual psychotherapy', 'OCD Treatment', ' PANIC ATTACKS', 'Difuldade Attention', 'Anger Management', 'Assessment and treatment of problems related to mood abnormalities', ' Strange Behavior', 'Difficulty Sleeping', 'Violent Behavior', 'Abnormal Behavior', 'Sleep Disorders', 'Grief Counselling', ' MANIA', 'Nicotine/Tobacco (Smoking) De-addiction Treatment', 'Anger Control', ' DEPRESSION', 'Affective and Emotional Difficulties', 'MENTAL RETARDATION/ BEHAVIORAL PROBLEMS', 'DeAddiction Counselling', 'Body Weakness', 'Suicidal Behavior', 'Cognitive Behavioral Therapy (CBT)', ' OCD', ' ANXIETY', 'sleep therapy', 'Phobia Counseling / Treatment', 'Premarital Counseling', 'Anxiety And Depression', 'Loneliness', 'Loss of Interest', 'Personality Disorder Treatment', 'Bipolar Disorder', 'Mental health', 'Mania', 'Sleepiness', 'Youth Counselling', 'Alcohol De-addiction Treatment', 'Psychological Problems', 'Neuropsychological diagnosis', 'Psychological diagnosis (adult and child)', 'Insomnia', 'Adult Counselling', 'Panic', 'Adjustment Disorder', 'Attention deficit disorder', 'Seizures', 'Tooth Coloured Fillings', 'Sleep Disorder Treatment', 'Patient Counselling', 'Headache', 'Eating Disorders', 'Post Traumatic Stress Disorder (PTSD)', 'De-Addiction', 'Psychosexual Problems', 'Counselling for Depression & Anxiety', 'Psychiatric Counselling', 'Child Psychology', 'Memory Improvement', ' BIPOLAR', 'Personality Assessment', 'Sleep Apnea', 'Relationship Counselling', 'SCHIZOPHRENIA', 'Depression Counselling', 'Assessment and treatment of problems related to disturbing thoughts', 'Drug Abuse & DeAddiction Therapy', 'Bipolar Disorder Treatment', 'Schizophrenia Treatment', 'Child and Adolescent Problems', 'Old Age Psychiatric and Behavioural Problems Treatment', 'Abnormal', 'Mood Disorders', 'Low Confidence', 'COUNSELLING/ PSYCHOTHERAPY', 'Stress Management Counselling', 'Marriage/ Marital Counselling']"
Psychotherapy,"['Online Counselling', 'Anxiety And Depression', 'Counselling And Stress Management', 'Obsessive Compulsive Disorder (OCD) Counselling', 'Depression Treatment', 'Youth Counselling', 'Psychological Problems', 'Career Counselling', ' BIPOLAR', 'Anxiety Disorders Treatment', 'Stress', 'Anxiety Disorder Counselling', 'Concentration Problems', 'Alcoholism and Drug Addiction', 'Attention deficit disorder', ' MANIA', 'SCHIZOPHRENIA', 'Anger Control', 'Learning Disability (Dyslexia) Treatment', 'Depression Counselling', 'Behaviour & Thought Problems', 'Sleep Disorder Treatment', ' DEPRESSION', 'Individual therapy', 'Panic Disorder Treatment', 'Veneers / Laminates', 'Family Counseling', 'Bipolar Disorder Treatment', 'Schizophrenia Treatment', 'Stress Management', 'Family Problems', 'De-Addiction', 'Premarital Counseling', 'Counselling for Depression & Anxiety', 'Counselling and Psychotherapy', 'Personal development', 'Psychiatric Counselling', 'Cognitive Behavioral Therapy (CBT)', ' OCD', 'Individual psychotherapy', 'Interpersonal Relationship Issues', ' PANIC ATTACKS', ' ANXIETY', 'OCD Treatment', 'Life sKILLS', 'Marriage/ Marital Counselling', 'Anger Management']"
Pulmonary Medicine,[]
Radiation Oncology,"['Thyroid cancer Treatment', 'Cervical Cancer', 'Oral Cancer Treatment', 'Radiation Therapy', 'Endometrial Cancer', 'External Beam Radiation For Prostate Cancer', 'Chemotherapy of Solid Tumors', 'Brachytherapy (Internal Radiation Therapy)', 'Cancer Treatment', 'Cancer Surgery', 'Rectum cancer Treatment', 'Hormone Therapy For Breast Cancer', 'Chronic Lymphocytic Leukemia', 'Chemotherapy', 'Thyroid Cancer', 'Breast Cancer Management', 'Brain Tumer', 'CHEMO', 'Breast Cancer Treatment', 'Mastectomy', 'Radiation Therapy contact therapy', 'Malignancy', 'lymphoma Cancer Treatment']"
Radiology,"['Anomaly Scan', 'Ultrasound/Ultrasonography', 'Ultrasound of abdomen & pelvis', 'Varicose Veins Laser Therapy', 'Interventional Diagnostic', 'Breast ultrasound', 'Early Pregnancy Scan', '3D/4D Ultrasound']"
Rehab Physical Medicine Specialty,[]
Renal Dietetics,[]
